8,3M,,0,0|1
9,Audacity,https://www.audacityteam.org/,,0,2
10,"Beautiful Soup",https://www.crummy.com/software/BeautifulSoup/,,0,3
11,CHAMD,https://github.com/UUDigitalHumanitieslab/chamd,,1,0
12,CMDI2DC,http://weblicht.sfs.uni-tuebingen.de/converter/Cmdi2DC/,,1,4
13,CMDI2Marc21,http://weblicht.sfs.uni-tuebingen.de/converter/Cmdi2Marc/,,1,4
14,CMDI2RDF,https://github.com/clarin-eric/CMD2RDF,,1,0
15,"Colectica for Excel",https://www.colectica.com/software/colecticaforexcel/,,2,2
16,"DDI Converter",https://git.gesis.org/stardat/stardat-converter,,2,5
17,"DDI to HTML Stylesheet",http://www.ddialliance.org/system/files/codebook2-0.xsl,,2,6
18,"EAF recipe",https://tla.mpi.nl/topic/converting-clan-files-to-elan-files/,,1,7
19,ELAN,https://archive.mpi.nl/tla/elan,,1|3,2
20,epidoc-xslt,https://github.com/DCLP/epidoc-xslt,,1,6
21,Handbrake,https://handbrake.fr/,,0,2
22,"HowTo ACDH-CH: Mapping scenario",https://howto.acdh.oeaw.ac.at/blog/mapping-mysql-database-to-rdf-with-karma/,,0,7
23,Imagemagick,https://imagemagick.org/index.php,,0,0|3
24,jq,https://stedolan.github.io/jq/,,0,0|5
25,Karma,https://usc-isi-i2.github.io/karma/,,0,8
26,Kuha2,https://kuha2.readthedocs.io/en/latest/,"Kuha2 is a metadata server that provides descriptive social science research metadata for harvesting via multiple protocols and a growing variety of metadata standards. The software is a collection of applications and consists of three server applications, a client application and a database.",2,8
27,"LibreCat & Catmandu",https://librecat.org/index.html,,4,8
28,"MetadataTransform DDI-XSLT",https://github.com/MetadataTransform/ddi-xslt,,2,6
29,Nominatim,https://wiki.openstreetmap.org/wiki/Nominatim,,0,1|4
30,OpenConvert,http://openconvert.clarin.inl.nl/openconvert/web/help.html,,1|3,5|4
31,OpenRefine,https://openrefine.org/,"OpenRefine (previously Google Refine) is a  tool for cleaning data, transforming data from one format into another, and extending data with web services and external data.",0,2
32,PanDoc,https://pandoc.org,"PanDoc can be used to convert files from one markup format into another. Pandoc can convert between dozens of formats.",1|3,0|3|5
33,Pepper,https://corpus-tools.org/pepper/,,1,3|5
34,Piereling,https://pypi.org/project/piereling/,,1,8|9
35,Praat,https://www.fon.hum.uva.nl/praat/,,1|3,2|10
36,QGIS,https://www.qgis.org/en/site/,,3|2|5,2
37,"Haven package",https://haven.tidyverse.org/,"Haven enables R to read and write various data formats used by other statistical packages. Haven is developed by Hadley Wickham, Evan Miller, and RStudio.",2,6
38,REFI,https://www.qdasoftware.org/,,0,7
39,Sledgehammer,https://ddialliance.org/tool/sledgehammer,,2,5
40,Smallpdf,https://smallpdf.com/,,0,1
41,"Spreadsheet software like MS Excel, LibreOffice Calc, GoogleSpreadsheet",https://www.libreoffice.org/|https://www.microsoft.com/en-us/microsoft-365/excel,,0,2
42,"SSK Scenario: Corpus Modelling",http://ssk.huma-num.fr/#/scenarios/SSK_sc_corpusModellingInTEI,,1,7
43,Stat/Transfer,https://stattransfer.com/,,2,2|10
44,Tabula,https://tabula.technology/,,0,2
45,TEI-OxGarage,https://oxgarage2.tei-c.org,,1,4
46,"TEI↔TCF encoder+decoder",http://kaskade.dwds.de/tei-tcf/,,1,1
47,TEIconvert,http://ct3.ortolang.fr/teiconvert/index-en.html,,1,1
48,"Tesseract OCR",https://tesseract-ocr.github.io/|https://github.com/tesseract-ocr/tesseract,,0,0|5
49,WLFXB,https://weblicht.sfs.uni-tuebingen.de/weblichtwiki/index.php/Reading_and_writing_TCF#Consuming_and_producing_linguistic_annotations_from.2Finto_TCF,,1,0|3
50,X3ML,https://www.ics.forth.gr/isl/x3ml-toolkit,,5,1
51,"XSLT, XPath, XQuery, XSL-FO",https://www.w3.org/standards/xml/transformation,,1,7
52,XSugar,https://www.brics.dk/xsugar/,,1,3|5
