Id,Name,Description
1,text/xml,
2,audio/*,
3,text/html,
4,text/x-chat,
5,application/x-cmdi+xml,
6,application/x-sas-data,
7,application/x-stata,
8,application/x-spss-sav,
9,application/vnd.ddi+xml;version=2.5,
10,application/vnd.ddi+xml;version=2.0,
11,text/csv,
12,text/praat-textgrid,
13,?,
14,video/*,
15,image/gif,
16,image/jpeg,
17,Image/tiff,
18,application/vnd.ddi+xml;version=1.2.2,
19,application/vnd.ddi+xml;version=3.1,
20,application/marcxml+xml,
21,application/vnd.ddi+xml;version=3.2,
22,text/plain,
23,text/plai,
24,application/alto+xml,
25,application/vnd.ms-word,
26,application/vnd.openxmlformats-officedocument.wordprocessingml.document,
27,application/epub+zip,
28,application/folia+xml,
29,pplication/x-sas-data,
30,application/vnd.ddi-ascii,
31,application/pdf,
32,application/vnd.openxmlformats-officedocument.wordprocessingml.documen,
33,application/vnd.ddi+xml,
34,appication/vnd.sta,
35,application/tei+xml,
36,application/rtf,
37,application/vnd.ms-excel,
38,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
39,application/vnd.oasis.opendocument.spreadsheet,
40,text/tab-separated-values,
41,application/tcf+xml,
