Id,Title,Description,Accesspoints
8,3M,,https://isl.ics.forth.gr/3M|https://www.ics.forth.gr/isl/x3ml-toolkit|https://github.com/isl/3MEditor
9,Audacity,,https://www.audacityteam.org/
10,"Beautiful Soup",,https://www.crummy.com/software/BeautifulSoup/
11,CHAMD,,https://github.com/UUDigitalHumanitieslab/chamd
12,CMDI2DC,,http://weblicht.sfs.uni-tuebingen.de/converter/Cmdi2DC/
13,CMDI2Marc21,,http://weblicht.sfs.uni-tuebingen.de/converter/Cmdi2Marc/
14,CMDI2RDF,,https://github.com/clarin-eric/CMD2RDF
15,"Colectica for Excel ",,https://www.colectica.com/software/colecticaforexcel/
16,"DDI Converter",,https://git.gesis.org/stardat/stardat-converter
17,"DDI to HTML Stylesheet",,http://www.ddialliance.org/system/files/codebook2-0.xsl
18,"EAF recipe",,https://tla.mpi.nl/topic/converting-clan-files-to-elan-files/
19,ELAN,,https://archive.mpi.nl/tla/elan
20,epidoc-xslt,,https://github.com/DCLP/epidoc-xslt
21,Handbrake,,https://handbrake.fr/
22,"HowTo ACDH-CH: Mapping scenario",,https://howto.acdh.oeaw.ac.at/blog/mapping-mysql-database-to-rdf-with-karma/
23,Imagemagick,,https://imagemagick.org/index.php
24,jq,,https://stedolan.github.io/jq/
25,Karma,,https://usc-isi-i2.github.io/karma/
26,Kuha2,"Kuha2 is a metadata server that provides descriptive social science research metadata for harvesting via multiple protocols and a growing variety of metadata standards. The software is a collection of applications and consists of three server applications, a client application and a database.",https://kuha2.readthedocs.io/en/latest/
27,"LibreCat & Catmandu",,https://librecat.org/index.html
28,"MetadataTransform DDI-XSLT",,https://github.com/MetadataTransform/ddi-xslt
29,Nominatim,,https://wiki.openstreetmap.org/wiki/Nominatim
30,OpenConvert,,http://openconvert.clarin.inl.nl/openconvert/web/help.html
31,OpenRefine,"OpenRefine (previously Google Refine) is a  tool for cleaning data, transforming data from one format into another, and extending data with web services and external data.",https://openrefine.org/
32,PanDoc,"PanDoc can be used to convert files from one markup format into another. Pandoc can convert between dozens of formats.",https://pandoc.org
33,Pepper,,https://corpus-tools.org/pepper/
34,Piereling,,https://pypi.org/project/piereling/
35,Praat,,https://www.fon.hum.uva.nl/praat/
36,QGIS,,https://www.qgis.org/en/site/
37,"Haven package","Haven enables R to read and write various data formats used by other statistical packages. Haven is developed by Hadley Wickham, Evan Miller, and RStudio.",https://haven.tidyverse.org/
38,REFI,,www.qdasoftware.org
39,Sledgehammer,,https://ddialliance.org/tool/sledgehammer
40,Smallpdf,,https://smallpdf.com/
41,"Spreadsheet software like MS Excel, LibreOffice Calc, GoogleSpreadsheet",,https://www.libreoffice.org/|https://www.microsoft.com/en-us/microsoft-365/excel
42,"SSK Scenario: Corpus Modelling",,http://ssk.huma-num.fr/#/scenarios/SSK_sc_corpusModellingInTEI
43,Stat/Transfer,,https://stattransfer.com/
44,Tabula,,https://tabula.technology/
45,TEI-OxGarage,,https://oxgarage2.tei-c.org
46,"TEI↔TCF encoder+decoder",,http://kaskade.dwds.de/tei-tcf/
47,TEIconvert,,http://ct3.ortolang.fr/teiconvert/index-en.html
48,"Tesseract OCR",,https://tesseract-ocr.github.io/|https://github.com/tesseract-ocr/tesseract
49,WLFXB,,https://weblicht.sfs.uni-tuebingen.de/weblichtwiki/index.php/Reading_and_writing_TCF#Consuming_and_producing_linguistic_annotations_from.2Finto_TCF
50,X3ML,,https://www.ics.forth.gr/isl/x3ml-toolkit
51,"XSLT, XPath, XQuery, XSL-FO",,https://www.w3.org/standards/xml/transformation
52,XSugar,,https://www.brics.dk/xsugar/
