Cleaned version for finalising and testing the conversion hub data model,,,,,,,,,,,,,,,,,,,,,,,,,
MS14 report,https://docs.google.com/document/d/1E7q4quEJvXdCkNjv_-TTkj_vw5sRsMXX0rXyhlM41t4/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,
Data Model: ,https://docs.google.com/document/d/1CCvz-UGIMXSuXnLfo7ZGX0UWL27Xdp7CW6biyJVLHBc/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and used vocabularies: see Data Model document,,,,,,,,,,,,,,,,,,,,,,,,,
Green = included in data model (other attributes are for Task 3.5 internal use),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,status (of internal work),Editor,Solution Name,Alternative name,Link to landing page,Description,Community,Invocation type,Use of solution: Local use,Use of solution: Operate service,Use of solution: Further development,Terms of Use / License,Input format,Input format comment,Output format,Output format comment,Status,Publication date,Last modification date,Expected Level of Knowledge,Application category,Application sub-category,See also,Source,Contacts
,,,,,URL,,"{CLARIN, DARIAH, cross-community, CESSDA, LIBER, ERIHS}",vocabulary TBD,"{ free, free in specific context, freemium, subscription, paid licence }","{ free, free in specific context, freemium, subscription, paid licence }","{ free, free in specific context, freemium, subscription, paid licence }",typically URL,vocabulary: see tab Format,,vocabulary: see tab Format,,"{ prototype, in development, production, maintained, as is, unknown }",ISO 8601 Date,ISO 8601 Date,"{ novice, advanced, expert }",{ data processing },{ conversion },URL + optional description,URL + optional description,
,"PARTHENOS result, from D3.1",Eleni,3M,,Landing page > https://isl.ics.forth.gr/3M ; Info page > https://www.ics.forth.gr/isl/x3ml-toolkit ; https://github.com/isl/3MEditor,,cross-community ,"source code, web application",free,free,free,"Licensed under the EUPL, Version 1.1 or - as soon they will be approved by the European Commission - subsequent versions of the EUPL: http://ec.europa.eu/idabc/eupl",text/xml,,?,"rdf triples compliant to a target schema.e.g CIDOC CRM/PEM/CERIF, SSHOCro",maintained,,,source and target schema knowledge -> XML schema expert,data processing,conversion,,,FORTH-ICS-CCI
,(from Tapor),Klaus,Audacity,,https://www.audacityteam.org/,,cross-community ,local application,free,free,free,GPL2  https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html,audio/*,multiple formats,audio/*,multiple formats,maintained,?,2020,novice,data processing / audio,conversion,,,Audacity
,(from ProgrammingHistorian and TERESAH),Klaus,Beautiful Soup,,https://www.crummy.com/software/BeautifulSoup/,,cross-community ,library,free,free,free,MIT https://opensource.org/licenses/MIT,"text/html, text/xml",websites (screen scraping),?,"text, code structure",maintained,2004,2020,expert,data processing,conversion,,,?
,CLARIAH NL invetory (unpublished),Daan,CHAMD,,https://github.com/UUDigitalHumanitieslab/chamd,,CLARIN,source code,free,free,free,MIT  https://github.com/UUDigitalHumanitieslab/chamd/blob/develop/LICENSE,text/x-chat,,application/prs.paqu-metadata,,maintained,2018,20120,advanced,data processing,conversion,,,digitalhumanities@uu.nl
,investigate,Thorsten,CMDI2DC,,http://weblicht.sfs.uni-tuebingen.de/converter/Cmdi2DC/,,CLARIN,RESTful webservice,free,free,free,"MIT https://opensource.org/licenses/MIT
https://github.com/SfS-ASCL/Cmdi2DC",application/x-cmdi+xml,CMDI according to some specified profiles,application/dc+xml,,maintained,2017-01-19,,advanced,data processing,conversion,,,clarin-repository@sfs.uni-tuebingen.de
,investigate,Thorsten,CMDI2Marc21,,http://weblicht.sfs.uni-tuebingen.de/converter/Cmdi2Marc/,,CLARIN,RESTful webservice,free,free,free,"MIT https://opensource.org/licenses/MIT
https://github.com/SfS-ASCL/Cmdi2Marc",application/x-cmdi+xml,CMDI according to some specified profiles,application/marcxml+xml,MARC21,maintained,2017-01-19,,advanced,data processing,conversion,,,clarin-repository@sfs.uni-tuebingen.de
,check status of service,Daan,CMDI2RDF,,https://github.com/clarin-eric/CMD2RDF,,CLARIN,source code,free,free,free,GPL v3  https://github.com/clarin-eric/CMD2RDF/blob/master/LICENSE,application/x-cmdi+xml,,?,RDF,maintained?,2014,2018,expert,data processing,conversion,,,https://github.com/clarin-eric/CMD2RDF/commits?author=menzowindhouwer
,,Iris,Colectica for Excel ,,https://www.colectica.com/software/colecticaforexcel/,,CESSDA,local application,free in specific contexts; subscription; paid licence,-,-,https://www.colectica.com/legal/eula/,"application/x-sas-data, application/x-stata, application/x-spss-sav",,application/vnd.ms-excel,,maintained,,2020,novice,data processing,conversion,,,"Colectica, support@colectica.com "
,check status,Iris,DDI Converter,,https://git.gesis.org/stardat/stardat-converter,,CESSDA,command line,free,free,free,"http://www.apache.org/licenses/LICENSE-2.0
https://git.gesis.org/stardat/stardat-converter/blob/master/LICENSE",application/vnd.ddi+xml;version=2.5,,application/vnd.ddi+xml;version=3.2,,in development,,,"Lot of DDI knowledge needed.
-> DDI expert",data processing,conversion,,,GESIS
,,Iris,DDI to HTML Stylesheet,,http://www.ddialliance.org/system/files/codebook2-0.xsl,,CESSDA,script,free,free in specific context,free in specific context,See comment in http://www.ddialliance.org/system/files/codebook2-0.xsl ,application/vnd.ddi+xml;version=2.0,,text/html,,"No longer developed, but still available",2004-06-01,2005-06-23,advanced,data processing,conversion,,,ICPSR
,will we do web-pages?. e.g. note we can copy (annoted versions of such web-pages to the Interop Portal,Daan,EAF recipe,,https://tla.mpi.nl/topic/converting-clan-files-to-elan-files/,,CLARIN,instruction page,?,?,?,http://ec.europa.eu/idabc/eupl,text/x-chat,,text/x-eaf+xml,,not maintained,2013,-,,data processing,conversion,,,
,from D3.1,Daan,ELAN,,https://archive.mpi.nl/tla/elan,,"CLARIN, DARIAH",local application,free,free,free,GPL v3,"text/csv, text/praat-textgrid, text/x-chat","many import/export options ao. CSV, TextGrid, CHAT","text/csv, text/praat-textgrid, text/x-chat","many import/export options ao. CSV, TextGrid, CHAT",maintained,2006,2020,advanced,data processing,conversion,,,Han Sloetjes
,(TERESAH),Klaus,epidoc-xslt,,https://github.com/DCLP/epidoc-xslt,,CLARIN,script,free,free,free,GPL v3.0,?,EpiDoc XML,"text/html, application/tei+xml",text formats e.g. TEI,finished,2014,2017,expert,data processing,conversion,,,Different authors (https://github.com/DCLP/epidoc-xslt/graphs/contributors)
,(from Tapor),Klaus,Handbrake,,https://handbrake.fr/,,cross-community ,local application,,,,GPL2 & BSD3,video/*,video data (multiple formats),video/*,video data (multiple formats),maintained,?,2020,novice,data processing / video,conversion,,,HandBrake Team
,,Klaus,HowTo ACDH-CH: Mapping scenario,,https://howto.acdh.oeaw.ac.at/blog/mapping-mysql-database-to-rdf-with-karma/,,cross-community,instruction page,free,free,free,CC BY-SA 4.0,?,SQL-DB,?,RDF,finalized,2017,2017,advanced,data processing ; mapping,conversion,,,Ksenia Zaytseva
,from D3.1,Daan,Imagemagick,,https://imagemagick.org/index.php,,cross-community,"source code, library",free,free,free,"derived Apache 2.0
https://imagemagick.org/script/license.php","image/gif, image/jpeg, Image/tiff",over 200 image formats,"image/gif, image/jpeg, Image/tiff",over 200 image formats,maintained,<2011,2020,,data processing,conversion,,,
,(from ProgrammingHistorian: https://programminghistorian.org/en/lessons/json-and-jq),Klaus,jq,,https://stedolan.github.io/jq/,,cross-community ,"source code, command line",free,free,free,MIT https://opensource.org/licenses/MIT,?,JSON,text/csv,,maintained,< 2013,2020,advanced,data processing,conversion,,,Stephen Dolan
,,Klaus,Karma,,https://usc-isi-i2.github.io/karma/,,cross-community,source code/web application,free,free,free,"Apache 2.0
https://github.com/usc-isi-i2/Web-Karma/blob/master/LICENSE.txt","text/csv, ?","CSV, SQL-DB",?,RDF,maintained,2016?,2020,advanced,data processing ; mapping,conversion,,,The University of Southern California (https://usc-isi-i2.github.io/karma/#people)
